airline_name,turns_after_late_arrival,turns_after_ontime_arrival,pct_dep_delayed_after_late_arrival,pct_dep_delayed_after_ontime_arrival,recovery_gap
Himalaya Airlines,105.0,304.0,99.0,44.1,54.9
Pobeda,174.0,322.0,90.8,32.9,57.9
Egypt Air,650.0,774.0,87.7,32.7,55.0
Air Astana,250.0,472.0,92.0,30.7,61.3
Pakistan International Airlines,289.0,943.0,94.8,29.8,65.0
Pegasus Airlines,140.0,351.0,98.6,29.1,69.5
US-Bangla Airlines,144.0,484.0,92.4,27.9,64.5
Spice Jet,1666.0,1694.0,95.5,27.4,68.1
Air Sial,171.0,512.0,91.8,24.0,67.8
Emirates,7835.0,25325.0,47.6,23.0,24.6
Flydubai,10838.0,25437.0,40.6,22.2,18.4
Ethiopian Airlines,428.0,781.0,77.6,22.0,55.6
Jazeera Airways,146.0,982.0,93.8,19.2,74.6
Indigo,858.0,4641.0,87.2,18.4,68.8
Air India,819.0,2754.0,77.0,18.2,58.8
Middle East Airlines,205.0,803.0,92.2,18.2,74.0
Turkish Airlines,383.0,650.0,79.1,17.5,61.6
Air India Express,922.0,3521.0,86.7,17.5,69.2
Aeroflot Russian Int.Airl.,339.0,657.0,84.1,16.7,67.4
Srilankan Airlines,104.0,454.0,84.6,16.1,68.5
Iraqi Airways,165.0,670.0,70.3,15.1,55.2
FlyNas,541.0,4364.0,84.3,15.0,69.3
Air Blue,530.0,1418.0,94.3,14.7,79.6
Oman Air,176.0,1104.0,68.8,12.4,56.4
British Airways,188.0,363.0,47.3,10.7,36.6
Kuwait Airways,206.0,1113.0,89.8,9.9,79.9
Gulf Air,250.0,1876.0,80.0,9.5,70.5
Qatar Airways,283.0,1611.0,40.6,7.8,32.8
Flyadeal Airline,259.0,1332.0,57.1,7.0,50.1
Air China,197.0,307.0,57.4,6.8,50.6
China Southern Airlines,181.0,587.0,39.8,6.6,33.2
Saudi Arabian Airlines,683.0,4405.0,37.8,6.2,31.6
Royal Jordanian,159.0,1035.0,49.7,5.0,44.7
