carrier_group,arr_bin,turns,pct_dep_delayed,avg_dep_delay,bin_start
Foreign carrier,"[-30, -20)",6812,13.6,5.553170874926599,-30
Foreign carrier,"[-20, -10)",13374,13.3,5.2644384626887994,-20
Foreign carrier,"[-10, 0)",17128,15.4,6.892456795889771,-10
Foreign carrier,"[0, 10)",12525,24.5,10.698235528942115,0
Foreign carrier,"[10, 20)",7243,43.4,16.284785309954437,10
Foreign carrier,"[20, 30)",4043,66.9,25.377318822656445,20
Foreign carrier,"[30, 40)",2418,78.7,33.71273779983457,30
Foreign carrier,"[40, 50)",1535,86.0,43.164104234527684,40
Foreign carrier,"[50, 60)",1170,91.0,53.71102564102564,50
Foreign carrier,"[60, 70)",801,92.6,63.5518102372035,60
Foreign carrier,"[70, 80)",586,94.4,72.25802047781569,70
Foreign carrier,"[80, 90)",459,94.8,84.99324618736384,80
Foreign carrier,"[90, 100)",367,96.2,95.15694822888283,90
Foreign carrier,"[100, 110)",313,95.8,106.50063897763577,100
Foreign carrier,"[110, 120)",257,96.9,113.42918287937744,110
Home carrier,"[-30, -20)",17380,26.4,12.897439585730725,-30
Home carrier,"[-20, -10)",21373,26.2,12.107607729378188,-20
Home carrier,"[-10, 0)",25617,27.8,12.796248584924074,-10
Home carrier,"[0, 10)",20043,30.3,13.997116200169636,0
Home carrier,"[10, 20)",12646,35.3,15.860272022774,10
Home carrier,"[20, 30)",7252,38.8,17.914189189189187,20
Home carrier,"[30, 40)",4292,44.0,20.79170549860205,30
Home carrier,"[40, 50)",2680,45.8,23.186082089552237,40
Home carrier,"[50, 60)",1766,49.6,27.465911664779163,50
Home carrier,"[60, 70)",1194,51.0,29.65829145728643,60
Home carrier,"[70, 80)",838,51.1,33.802028639618136,70
Home carrier,"[80, 90)",673,54.5,36.544873699851415,80
Home carrier,"[90, 100)",522,58.2,37.85536398467433,90
Home carrier,"[100, 110)",445,49.7,33.62359550561798,100
Home carrier,"[110, 120)",314,56.7,35.39108280254777,110
